product_id,order_year,product_name,total_unit_sold
6,2018,Surly Ice Cream Truck Frameset - 2016,48764
13,2018,Electra Cruiser 1 (24-Inch) - 2016,45844
16,2018,Electra Townie Original 7D EQ - 2016,45552
23,2018,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,44968
7,2018,Trek Slash 8 27.5 - 2016,44968
12,2018,Electra Townie Original 21D - 2016,44676
11,2018,Surly Straggler 650b - 2016,44092
25,2018,Electra Townie Original 7D - 2015/2016,43216
10,2018,Surly Straggler - 2016,42924
22,2018,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,42340
9,2018,Trek Conduit+ - 2016,42340
4,2018,Trek Fuel EX 8 29 - 2016,41756
21,2018,Electra Cruiser 1 (24-Inch) - 2016,40588
15,2018,Electra Moto 1 - 2016,40004
24,2018,Electra Townie Original 21D - 2016,39712
26,2018,Electra Townie Original 7D EQ - 2016,39128
18,2018,Pure Cycles Western 3-Speed - Women's - 2015/2016,39128
17,2018,Pure Cycles Vine 8-Speed - 2016,38836
5,2018,Heller Shagamaw Frame - 2016,37668
3,2018,Surly Wednesday Frameset - 2016,36792
20,2018,Electra Townie Original 7D EQ - Women's - 2016,36500
8,2018,Trek Remedy 29 Carbon Frameset - 2016,36500
14,2018,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,36208
2,2018,Ritchey Timberwolf Frameset - 2016,34456
19,2018,Pure Cycles William 3-Speed - 2016,31828
65,2018,Sun Bicycles Lil Bolt Type-R - 2017,17520
45,2018,Haro SR 1.2 - 2017,15184
95,2018,"""Electra Girl's Hawaii 1 16"""" - 2017""",13724
36,2018,Surly Troll Frameset - 2017,13432
56,2018,Trek Domane SLR 6 Disc - 2017,12556
106,2018,Sun Bicycles Cruz 3 - 2017,12264
62,2018,Trek Boone 7 - 2017,12264
48,2018,Trek Emonda S 4 - 2017,12264
71,2018,Sun Bicycles Atlas X-Type - 2017,11972
61,2018,Trek Powerfly 8 FS Plus - 2017,11972
101,2018,Electra Townie 7D (20-inch) - Boys' - 2017,11680
81,2018,Electra Amsterdam Fashion 7i Ladies' - 2017,11680
103,2018,Sun Bicycles Streamway 3 - 2017,11388
102,2018,Electra Townie Original 7D - 2017,11388
100,2018,Electra Townie 3i EQ (20-inch) - Boys' - 2017,11388
93,2018,Haro Shredder 20 Girls - 2017,11388
92,2018,Haro Shredder 20 - 2017,11388
91,2018,Trek Precaliber 24 (21-Speed) - Girls - 2017,11388
78,2018,Sun Bicycles Biscayne Tandem CB - 2017,11388
58,2018,Trek Madone 9.2 - 2017,11388
55,2018,Trek Domane S 6 - 2017,11388
28,2018,Surly Karate Monkey 27.5+ Frameset - 2017,11388
77,2018,Electra Glam Punk 3i Ladies' - 2017,11096
105,2018,Sun Bicycles Streamway 7 - 2017,10804
49,2018,Trek Domane SL 6 - 2017,10804
66,2018,Sun Bicycles Revolutions 24 - 2017,10512
109,2018,Sun Bicycles Cruz 7 - Women's - 2017,10220
52,2018,Surly Steamroller - 2017,10220
41,2018,Haro Shift R3 - 2017,10220
33,2018,Surly Wednesday Frameset - 2017,10220
29,2018,Trek X-Caliber 8 - 2017,10220
99,2018,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,9928
60,2018,Sun Bicycles ElectroLite - 2017,9928
42,2018,Trek Fuel EX 5 27.5 Plus - 2017,9928
97,2018,Electra Savannah 3i (20-inch) - Girl's - 2017,9636
72,2018,Sun Bicycles Biscayne Tandem 7 - 2017,9636
43,2018,Trek Fuel EX 9.8 27.5 Plus - 2017,9636
40,2018,Trek Fuel EX 9.8 29 - 2017,9636
108,2018,Sun Bicycles Cruz 3 - Women's - 2017,9344
70,2018,Electra Amsterdam Original 3i - 2015/2017,9344
96,2018,Electra Moto 3i (20-inch) - Boy's - 2017,9052
88,2018,Trek Precaliber 12 Girls - 2017,9052
82,2018,Electra Amsterdam Original 3i Ladies' - 2017,9052
37,2018,Haro Flightline One ST - 2017,9052
27,2018,Surly Big Dummy Frameset - 2017,9052
104,2018,Sun Bicycles Streamway - 2017,8760
87,2018,Trek Precaliber 12 Boys - 2017,8760
85,2018,Haro Downtown 16 - 2017,8760
50,2018,Trek Silque SLR 7 Women's - 2017,8760
30,2018,Surly Ice Cream Truck Frameset - 2017,8760
73,2018,Sun Bicycles Brickell Tandem 7 - 2017,8468
69,2018,Sun Bicycles Cruz 7 - 2017,8468
63,2018,Trek Boone Race Shop Limited - 2017,8468
51,2018,Trek Silque SLR 8 Women's - 2017,8468
94,2018,Haro Shredder Pro 20 - 2017,8176
38,2018,Haro Flightline Two 26 Plus - 2017,8176
32,2018,Trek Farley Alloy Frameset - 2017,8176
89,2018,Trek Precaliber 16 Boys - 2017,7884
76,2018,"""Electra Girl's Hawaii 1 16"""" - 2017""",7884
75,2018,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,7884
64,2018,Electra Townie Original 7D - 2017,7884
46,2018,Haro SR 1.3 - 2017,7884
74,2018,Electra Cruiser Lux 1 - 2017,7592
68,2018,Sun Bicycles Cruz 3 - 2017,7592
59,2018,Trek Domane S 5 Disc - 2017,7592
35,2018,Sun Bicycles Spider 3i - 2017,7592
110,2018,Sun Bicycles Drifter 7 - 2017,7300
107,2018,Sun Bicycles Cruz 7 - 2017,7300
90,2018,Trek Precaliber 16 Girls - 2017,7300
67,2018,Sun Bicycles Revolutions 24 - Girl's - 2017,7300
39,2018,Trek Stache 5 - 2017,7300
111,2018,Sun Bicycles Drifter 7 - Women's - 2017,7008
86,2018,Trek Girl's Kickster - 2017,7008
84,2018,Sun Bicycles Lil Kitt'n - 2017,7008
83,2018,Trek Boy's Kickster - 2015/2017,7008
54,2018,Trek Domane SL Disc Frameset - 2017,7008
57,2018,Trek Emonda S 5 - 2017,6716
53,2018,Surly Ogre Frameset - 2017,6424
47,2018,Trek Remedy 9.8 - 2017,6424
44,2018,Haro SR 1.1 - 2017,6424
79,2018,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,6132
98,2018,Electra Straight 8 3i (20-inch) - Boy's - 2017,5840
80,2018,Sun Bicycles Brickell Tandem CB - 2017,5548
31,2018,Surly Wednesday - 2017,5256
34,2018,Trek Session DH 27.5 Carbon Frameset - 2017,4672
263,2018,Strider Classic 12 Balance Bike - 2018,3212
252,2018,Electra Townie Commute Go! Ladies' - 2018,3212
235,2018,Electra Koa 3i Ladies' - 2018,3212
295,2018,"""Electra Treasure 1 20"""" - 2018""",2920
230,2018,Electra Cruiser Lux 1 Ladies' - 2018,2920
142,2018,Trek Fuel EX 8 29 XT - 2018,2920
304,2018,Electra Townie Original 21D EQ - 2017/2018,2628
265,2018,Strider Strider 20 Sport - 2018,2628
242,2018,Electra Townie Commute 8D Ladies' - 2018,2628
124,2018,Surly Krampus - 2018,2628
300,2018,Electra Townie Balloon 3i EQ Ladies' - 2018,2336
297,2018,"""Electra Under-The-Sea 1 16"""" - 2018""",2336
282,2018,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,2336
271,2018,Trek Precaliber 16 Girl's - 2018,2336
