month,year,sales_amount,prev_sales_amount,sales_growth_percent
1,2017,285616.4840,,
2,2017,312923.7470,285616.4840,9.5608147743
3,2017,308911.9018,312923.7470,-1.2820520138
4,2017,227290.9131,308911.9018,-26.4220925851
5,2017,268233.2379,227290.9131,18.0131815397
6,2017,378865.6535,268233.2379,41.2448570752
7,2017,229995.3979,378865.6535,-39.2936794942
8,2017,290553.4554,229995.3979,26.3301170601
9,2017,293405.2561,290553.4554,0.9815063793
10,2017,310328.3090,293405.2561,5.7678083634
11,2017,281577.9019,310328.3090,-9.2645131837
12,2017,259505.9849,281577.9019,-7.8386538329
